model,split,dt,horizon_seconds,runs,rmse_position,rmse_velocity,rmse_roll_pitch,rmse_roll_pitch_rates,rmse_legacy_10_state,rmse_yaw,rmse_yaw_rate,rmse_full_12_state,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_phi,rmse_theta,rmse_psi,rmse_p,rmse_q,rmse_r,worst_window_position_rmse,divergent_windows,windows
dictionary_trig19_f100,validation,0.01,1.0,9,0.0605628220987052,0.15591079903670607,0.016579338009422115,0.09214690749618826,0.10072733097345236,0.01979783797062709,0.09819085311918535,0.09639041708720271,0.07081743945259916,0.07642009000411931,0.01218303635462024,0.18325542708225157,0.19532929010521727,0.03447388345814684,0.014695664711653258,0.018269820369779418,0.01979783797062709,0.08439971842650969,0.09929145306494429,0.09819085311918535,0.24848723596566735,0,540
dictionary_trig19_f100,validation,0.01,2.0,9,0.2061226477760139,0.2575872816621302,0.017777486538855084,0.09573543092459087,0.1858698158186943,0.02023077532483637,0.10076691170238603,0.17224961032588576,0.24240133788160145,0.25872694607281166,0.04197137771899039,0.3031175603391707,0.32335342335778744,0.05114617521462877,0.015729017808970097,0.01961316022581392,0.02023077532483637,0.08782581196812053,0.10303966333783586,0.10076691170238603,0.9254986309168702,0,540
dictionary_trig19_f100,test,0.01,0.1,9,0.0010315497016092914,0.02139802300126141,0.004864165469755873,0.028570111016873533,0.01748325240884972,0.00838343571343984,0.02077811258378,0.017220755657106318,0.001150383221440757,0.0013170388496559146,0.00036648529710653447,0.02215939406065067,0.028316038621421534,0.008988291091331039,0.004945909965402356,0.004781023535652634,0.00838343571343984,0.02460866462746674,0.032045531861490825,0.02077811258378,0.0038312124915449858,0,540
dictionary_trig19_f100,test,0.01,0.5,9,0.019262864761667702,0.09573913640245217,0.014355195111055197,0.08517941896230925,0.06598055067715568,0.026049420554599485,0.10365775213365304,0.06767436280037373,0.019811518028126186,0.02578171386625119,0.007482035820475619,0.09623953815653295,0.12985535019641467,0.03706057255420887,0.014594274373890161,0.014112066073135393,0.026049420554599485,0.07836814749592208,0.09148497301508385,0.10365775213365304,0.08837733692506392,0,540
dictionary_trig19_f100,test,0.01,1.0,9,0.06708645287829045,0.16500666801455316,0.016354651028167126,0.09957820532290944,0.10749416966437642,0.02530422187413835,0.1445813771434736,0.10688546961572795,0.06619672483110213,0.09288272619062456,0.022193901784185514,0.15754371380838594,0.23254816372383708,0.052753495201055024,0.016467823945676134,0.016240689486609606,0.02530422187413835,0.09050888337801552,0.10788781201010522,0.1445813771434736,0.2965410322793629,0,540
dictionary_trig19_f100,test,0.01,2.0,9,0.2014881023693144,0.24177897554188055,0.017747653309560494,0.10602003594048753,0.17896201822427096,0.02697558183747392,0.14695327211230394,0.16896670921343895,0.1910699580323964,0.2878769355744522,0.04910710020885896,0.22552670222215113,0.34776349515266947,0.05974510077189793,0.017979490580023204,0.01751274719955621,0.02697558183747392,0.0967492382268885,0.11454292184225665,0.14695327211230394,0.9362285764349222,0,540
dictionary_physics42_f100,validation,0.01,0.1,9,0.0005038233791612657,0.005807030713807611,0.004463459369480943,0.022906060582156825,0.010913965791582705,0.005117427030249973,0.019395097784128262,0.01152354246193492,0.0005985767049952983,0.000622040314184421,0.0001276157041070872,0.006425143340515749,0.007667736014704345,0.0010431560745865563,0.004487993293608705,0.004438789844376247,0.005117427030249973,0.02145628112489497,0.024269388601206112,0.019395097784128262,0.002009126951985909,0,540
dictionary_physics42_f100,validation,0.01,0.5,9,0.004923093585731959,0.023544924388740063,0.01354301191613618,0.07087361096140947,0.034855078180540254,0.01909560843924092,0.07613503365585891,0.03906186371338772,0.005849607159430917,0.006078687117974982,0.0012418576261895048,0.029972405732501383,0.02664179658736802,0.0074134986759345585,0.013550482061471303,0.013535537648093537,0.01909560843924092,0.06826695078178298,0.07338774347516117,0.07613503365585891,0.027848790416697758,0,540
dictionary_physics42_f100,validation,0.01,1.0,9,0.018169711162337124,0.05043812943876424,0.016106987561360156,0.08469553347830447,0.048464385680585795,0.02276569872633409,0.10888502218208304,0.05466732104897207,0.02397151629233462,0.019300702849019403,0.006577574579468085,0.06599408556837041,0.05343227448784369,0.02053746374056302,0.015027718848288178,0.017118345796846898,0.02276569872633409,0.08022736152594241,0.08893951453057816,0.10888502218208304,0.09877759287082569,0,540
dictionary_physics42_f100,validation,0.01,2.0,9,0.07313469522272353,0.10017203131927027,0.017880801512213967,0.08930252305625858,0.07920775586122496,0.02664628863169312,0.12162583088376645,0.08074731849093825,0.09490268336657914,0.07733265678648775,0.032545227301834866,0.12479829902898266,0.11154303746803094,0.045681975961692683,0.01692781325761007,0.018785506747326975,0.02664628863169312,0.08534838831736485,0.09308884927882334,0.12162583088376645,0.3672113645904984,0,540
